seq,sigla,rnum,codigo
1.4.11,PE,444,66563
1.4.11,PE,445,66575
1.4.11,PE,446,66595
1.4.11,PE,447,66646
1.4.11,PE,448,66679
1.4.11,PE,449,66682
1.4.11,PE,450,66707
1.4.11,PE,451,66759
1.4.11,PE,452,66763
1.4.11,PE,453,66788
1.4.11,PE,454,66844
1.4.11,PE,455,66863
1.4.11,PE,456,68585
1.4.11,PE,457,72836
1.4.11,PE,458,72891
1.4.11,PE,459,72949
1.4.11,PE,460,73122
1.4.11,PE,461,73267
1.4.11,PE,462,73334
1.4.11,PE,463,73475
1.4.11,PE,464,73481
1.4.11,PE,465,73642
1.4.11,PE,466,73654
1.4.11,PE,467,74098
1.4.11,PE,468,74160
1.4.12,PE,469,66286
1.4.12,PE,470,66350
1.4.12,PE,471,66356
1.4.12,PE,472,66423
1.4.12,PE,473,66426
1.4.12,PE,474,66428
1.4.12,PE,475,66429
1.4.12,PE,476,66433
1.4.12,PE,477,66435
1.4.12,PE,478,66436
1.4.12,PE,479,66456
1.4.12,PE,480,66467
1.4.12,PE,481,66477
1.4.12,PE,482,66485
1.4.12,PE,483,66487
1.4.12,PE,484,66501
1.4.12,PE,485,66550
1.4.12,PE,486,66556
1.4.12,PE,487,66562
1.4.12,PE,488,66582
1.4.12,PE,489,66590
1.4.12,PE,490,66601
1.4.12,PE,491,66698
1.4.12,PE,492,66715
1.4.12,PE,493,66749
1.4.12,PE,494,66760
1.4.12,PE,495,66804
1.4.12,PE,496,66808
1.4.12,PE,497,66816
1.4.12,PE,498,66827
1.4.12,PE,499,66837
1.4.12,PE,500,66876
1.4.12,PE,501,66890
1.4.12,PE,502,72699
1.4.12,PE,503,72701
1.4.12,PE,504,72702
1.4.12,PE,505,72727
1.4.12,PE,506,72899
1.4.12,PE,507,73073
1.4.12,PE,508,73080
1.4.12,PE,509,73168
1.4.12,PE,510,73207
1.4.12,PE,511,73220
1.4.12,PE,512,73317
1.4.12,PE,513,73505
1.4.12,PE,514,73520
1.4.12,PE,515,73526
1.4.12,PE,516,73544
1.4.12,PE,517,73606
1.4.12,PE,518,73687
1.4.12,PE,519,73699
1.4.12,PE,520,73717
1.4.12,PE,521,73737
1.4.12,PE,522,73740
1.4.12,PE,523,73744
1.4.12,PE,524,73805
1.4.12,PE,525,73828
1.4.12,PE,526,73856
1.4.12,PE,527,73871
1.4.12,PE,528,73877
1.4.12,PE,529,73883
1.4.12,PE,530,73903
1.4.12,PE,531,73906
1.4.12,PE,532,73908
1.4.12,PE,533,73919
1.4.12,PE,534,73926
1.4.12,PE,535,73954
1.4.12,PE,536,74050
1.4.12,PE,537,74075
1.4.12,PE,538,74082
1.4.12,PE,539,74281
1.4.13,PE,540,66251
1.4.13,PE,541,66276
1.4.13,PE,542,66354
1.4.13,PE,543,66388
1.4.13,PE,544,66389
1.4.13,PE,545,66413
1.4.13,PE,546,66451
1.4.13,PE,547,66492
1.4.13,PE,548,66565
1.4.13,PE,549,66566
1.4.13,PE,550,66574
1.4.13,PE,551,66619
1.4.13,PE,552,66632
1.4.13,PE,553,66634
1.4.13,PE,554,66652
1.4.13,PE,555,66717
1.4.13,PE,556,66720
1.4.13,PE,557,66724
1.4.13,PE,558,66729
1.4.13,PE,559,66847
1.4.13,PE,560,66857
1.4.13,PE,561,66869
1.4.13,PE,562,70852
1.4.13,PE,563,71638
1.4.13,PE,564,72550
1.4.13,PE,565,72697
1.4.13,PE,566,72755
1.4.13,PE,567,72929
1.4.13,PE,568,72987
1.4.13,PE,569,72996
1.4.13,PE,570,73035
1.4.13,PE,571,73261
1.4.13,PE,572,73322
1.4.13,PE,573,73423
1.4.13,PE,574,73513
1.4.13,PE,575,73536
1.4.13,PE,576,73624
1.4.13,PE,577,73641
1.4.13,PE,578,73809
1.4.13,PE,579,73897
1.4.13,PE,580,73987
1.4.13,PE,581,74007
1.4.13,PE,582,74250
1.4.13,PE,583,74360
2.1.1,PCE,1,66339
2.1.1,PCE,2,66598
2.1.1,PCE,3,66709
2.1.1,PCE,4,73071
2.1.1,PCE,5,73474
2.1.1,PCE,6,74069
2.2.1,PEE,1,66603
2.2.1,PEE,2,66756
2.2.1,PEE,3,73419
2.2.1,PEE,4,71781
2.2.1,PEE,5,66405
2.2.1,PEE,6,66747
2.2.1,PEE,7,66699
2.2.1,PEE,8,74088
2.2.1,PEE,9,66778
2.2.1,PEE,10,73551
2.2.1,PEE,11,66710
2.2.1,PEE,12,66767
2.2.1,PEE,13,66848
2.2.1,PEE,14,66628
2.2.1,PEE,15,66797
2.2.1,PEE,16,66680
2.2.1,PEE,17,66613
