autor,name_full,n,codigos
andrea olivares magalhaes,Andrea Olivares Magalhães,2,"{""66829"": 2, ""71964"": 6}"
andre balbi,André Balbi,1,"{""66526"": 4}"
andre barros albuquerque esteves,Andre Barros Albuquerque Esteves,1,"{""73690"": 3}"
andre de oliveira baldoni,André de Oliveira Baldoni,2,"{""66673"": 3, ""66697"": 7}"
andre de sousa alvarenga,André de Sousa Alvarenga,3,"{""72667"": 2, ""73018"": 6, ""73913"": 5}"
andre falcao pedrosa costa,André Falcão Pedrosa Costa,2,"{""70660"": 6, ""73261"": 7}"
andre fernandes,André Fernandes,1,"{""73263"": 2}"
andre gouvea,andre gouvea,2,"{""73336"": 4, ""73513"": 4}"
andreia batista bialeski,Andréia Batista Bialeski,2,"{""66558"": 3, ""66568"": 5}"
andreia da silva machado,Andreia da Silva Machado,1,"{""73109"": 2}"
andreia ferreira torres,Andreia Ferreira Torres,3,"{""73544"": 7, ""73805"": 7, ""73903"": 8}"
andreia freire de menezes,Andreia Freire de Menezes,1,"{""72966"": 7}"
andreia goncalves giaretta,Andréia Gonçalves Giaretta,1,"{""73122"": 1}"
andreia silva de oliveira,Andreia Silva de Oliveira,2,"{""73728"": 6, ""73733"": 6}"
andreia turmina fontanella,Andréia Turmina Fontanella,1,"{""72920"": 2}"
andreia watanabe,Andreia Watanabe,7,"{""72755"": 4, ""73052"": 1, ""73326"": 7, ""73672"": 6, ""73883"": 2, ""74160"": 4, ""74265"": 4}"
andrei sposito,Andrei Sposito,1,"{""66534"": 3}"
andre jarsen,André Jarsen,2,"{""73178"": 1, ""73431"": 1}"
andre kataguiri,André Kataguiri,2,"{""66510"": 4, ""66512"": 4}"
andre l. barreira,André L. Barreira,1,"{""72609"": 2}"
andre lopes ventura moraes,André Lopes Ventura Moraes,2,"{""72744"": 2, ""72755"": 1}"
andre l.s. santos,André L. S. Santos,1,"{""66533"": 6}"
andre luis balbi,André Luis Balbi,5,"{""66520"": 7, ""66522"": 7, ""72582"": 4, ""72708"": 7, ""72955"": 5}"
andre luis barreira,André Luis Barreira,9,"{""72691"": 2, ""72992"": 7, ""73041"": 6, ""73056"": 6, ""73061"": 6, ""73117"": 7, ""73238"": 7, ""73346"": 7, ""74232"": 5}"
