autor,name_full,n,codigos
natalia trizzoti,Natalia Trizzoti,1,"{""73170"": 4}"
natalino salgado filho,Natalino Salgado Filho,7,"{""72823"": 3, ""73095"": 1, ""73108"": 1, ""73267"": 8, ""73477"": 5, ""73642"": 5, ""73654"": 6}"
natana de lima paiva,Natana de Lima Paiva,1,"{""66551"": 6}"
natanael aguiar airao,Natanael Aguiar Airão,2,"{""66806"": 1, ""66819"": 1}"
natasha caroline cristina santana de aguiar,Natasha Caroline Cristina Santana de Aguiar,1,"{""66380"": 6}"
natasha cristina cunha muniz,Natasha Cristina Cunha Muniz,1,"{""66688"": 2}"
natassia alberici anselmo,Natassia Alberici Anselmo,1,"{""66402"": 4}"
nathalia da fonseca pestana,Nathalia da Fonseca Pestana,1,"{""66486"": 1}"
nathalia gomes da silva,Nathália Gomes da Silva,1,"{""66484"": 6}"
nathalia lucho zimmer,Nathália Lucho Zimmer,1,"{""74255"": 2}"
nathalia monteiro da silva pacheco,Nathália Monteiro da Silva Pacheco,4,"{""66465"": 2, ""66467"": 5, ""66733"": 4, ""73737"": 2}"
nathalia novak zobiole,Nathalia Novak Zobiole,1,"{""74142"": 3}"
nathalia paludo,Nathalia Paludo,1,"{""66377"": 3}"
nathalia rampini de queiroz,Nathália Rampini de Queiroz,3,"{""73964"": 7, ""74066"": 6, ""74122"": 8}"
nathally baston,Nathally Baston,3,"{""66456"": 5, ""66829"": 6, ""71964"": 2}"
nathiele carvalho michel.,Nathiele Carvalho Michel ,1,"{""74388"": 3}"
natiele zanardo carvalho,Natiele Zanardo Carvalho,1,"{""66402"": 7}"
nayanne aguiar mendonca,Nayanne Aguiar Mendonça,1,"{""66626"": 2}"
nayara da silva lisboa,Nayara da Silva Lisboa,1,"{""66767"": 2}"
nayara melo ayub caldeira,Nayara Melo Ayub Caldeira,1,"{""66741"": 4}"
nazareth de novaes rocha,Nazareth de Novaes Rocha,1,"{""72675"": 5}"
neide missae murai,Neide Missae Murai,1,"{""74158"": 6}"
niara da cunha borges,Niara da Cunha Borges,2,"{""66808"": 1, ""66835"": 1}"
nicholas buckley,Nicholas Buckley,1,"{""66665"": 7}"
nicole guedes barros,Nicole Guedes Barros,2,"{""66582"": 6, ""66812"": 2}"
nicoli ferri revoredo,Nicoli Ferri Revoredo,1,"{""66850"": 2}"
niellys de fatima da conceicao goncalves costa,Niellys de Fátima da Conceição Gonçalves Costa,1,"{""73551"": 3}"
niels olsen saraiva camara,Niels Olsen Saraiva Câmara,1,"{""66596"": 7}"
nikolai jose eustatios kotsifas,Nikolai Jose Eustatios Kotsifas,1,"{""72626"": 5}"
nikolai kotsifas,Nikolai Kotsifas,1,"{""66838"": 6}"
nikolas cunha de assis pereira,Nikolas Cunha de Assis Pereira,1,"{""72889"": 6}"
nilo eduardo delboni nunes,Nilo Eduardo Delboni Nunes,2,"{""66474"": 2, ""72921"": 2}"
nina pires de lemos,Nina Pires de Lemos,1,"{""72720"": 3}"
noelma santos liao,Noelma Santos Lião,1,"{""72532"": 4}"
noemi angelica vieira roza,Noemi Angelica Vieira Roza,1,"{""73690"": 1}"
nordeval cavalcante araujo,Nordeval Cavalcante Araújo,2,"{""66350"": 1, ""66480"": 1}"
nubia rickes,Núbia Rickes,1,"{""74388"": 8}"
nycole abreu gama,Nycole Abreu Gama,1,"{""72607"": 1}"
octavio henrique c. messeder,Octávio Henrique C. Messeder,2,"{""66352"": 5, ""66386"": 6}"
olival cirilo lucena de fonseca neto,Olival Cirilo Lucena de Fonseca Neto,1,"{""73022"": 1}"
osvaldino vieira de santana filho,Osvaldino Vieira de Santana Filho,1,"{""73724"": 3}"
osvaldo theodoro da paz,Osvaldo Theodoro da Paz,1,"{""73727"": 2}"
pablo rodrigues costa alves,Pablo Rodrigues Costa Alves,2,"{""66877"": 2, ""66896"": 1}"
pablo rodrigues costa-alves,Pablo Rodrigues Costa-Alves,2,"{""66480"": 4, ""66695"": 6}"
paloma cardoso pedro da silva,Paloma Cardoso Pedro da Silva,1,"{""66404"": 4}"
paloma siufi noda,Paloma Siufi Noda,2,"{""66829"": 1, ""71964"": 1}"
pamela b. l. vela,Pamela B. L. Vela,1,"{""73297"": 3}"
pamela falbo,Pâmela Falbo,1,"{""66870"": 1}"
pamela martins de moraes,Pâmela Martins de Moraes,1,"{""72610"": 5}"
pamella senna,Pamella Senna,2,"{""66580"": 4, ""73109"": 7}"
paola lima rovaris,Paola Lima Rovaris,1,"{""66554"": 5}"
paolo blanco villela,Paolo Blanco Villela,1,"{""72830"": 5}"
pasqual barreti,Pasqual Barreti,2,"{""71601"": 6, ""71602"": 6}"
pasqual barretti,Pasqual Barretti,2,"{""66439"": 3, ""74013"": 4}"
patricia araujo de freitas,Patrícia Araújo de Freitas,1,"{""72950"": 6}"
patricia barbosa da rocha,Patrícia Barbosa da Rocha,1,"{""66482"": 7}"
patricia burth,Patrícia Burth,2,"{""73136"": 3, ""73139"": 4}"
patricia da cruz queiroz,Patrícia da Cruz Queiroz,1,"{""73018"": 3}"
patricia ferreira abreu,Patrícia Ferreira Abreu,2,"{""72794"": 3, ""73074"": 1}"
patricia funari carvalho,Patricia Funari Carvalho,4,"{""66317"": 2, ""66318"": 2, ""72996"": 2, ""73423"": 2}"
patricia malafronte,Patricia Malafronte,3,"{""66456"": 6, ""66829"": 8, ""71964"": 5}"
patricia moraes souza,Patricia Moraes Souza,1,"{""73265"": 4}"
patricia murari,Patrícia Murari,1,"{""73626"": 6}"
patricia narguis grun,Patricia Narguis Grun,1,"{""72627"": 2}"
patricia nunes de oliveira,Patrícia Nunes de Oliveira,1,"{""66641"": 6}"
patricia oliveira costa,Patrícia Oliveira Costa,3,"{""66731"": 6, ""66792"": 1, ""73038"": 7}"
patricia rocco,Patricia Rocco,1,"{""72675"": 7}"
patricia rubio,Patrícia Rubio,1,"{""73073"": 6}"
patricia rubio souto,Patrícia Rubio Souto,1,"{""73520"": 3}"
patricia schincariol,Patrícia Schincariol,1,"{""73313"": 4}"
patrick dulff lobo de araujo,Patrick Dulff Lobo de Araujo,1,"{""73013"": 2}"
paula chaves pereira,Paula Chaves Pereira,1,"{""66483"": 3}"
paula de aquino soeiro da silva,Paula de Aquino Soeiro da Silva,1,"{""72918"": 1}"
paula de a. s da silva,Paula de A. S. da Silva,1,"{""66533"": 4}"
paula do valle ungierowicz,Paula do Valle Ungierowicz,1,"{""66726"": 3}"
paula frassineti castelo branco camurca fernandes,Paula Frassineti Castelo Branco Camurça Fernandes,1,"{""66888"": 4}"
paula frassinetti castelo branco camurca fernandes,Paula Frassinetti Castelo Branco Camurça Fernandes,10,"{""66285"": 3, ""66286"": 3, ""66328"": 4, ""66500"": 3, ""66760"": 4, ""66886"": 4, ""66890"": 2, ""66892"": 4, ""66893"": 4, ""73526"": 4}"
paula gabriella costa da penha,Paula Gabriella Costa da Penha,1,"{""71702"": 1}"
paula lazaretti morato castro,Paula Lazaretti Morato Castro,1,"{""73901"": 4}"
paula liziero tavares,Paula Liziero Tavares,1,"{""66675"": 3}"
paula maroco cherem,Paula Maroco Cherem,1,"{""66587"": 2}"
paula neves fernandes,Paula Neves Fernandes,1,"{""73661"": 3}"
paula rebello bicalho,Paula Rebello Bicalho,1,"{""73740"": 2}"
paula silva maia,Paula Silva Maia,1,"{""66353"": 6}"
paulino jose bomfim junior,Paulino José Bomfim Júnior,1,"{""73685"": 5}"
paulino jose do bomfim junior,Paulino Jose do Bomfim Junior,1,"{""73092"": 8}"
paulo alexandre menezes,Paulo Alexandre Menezes,1,"{""73871"": 4}"
paulo assis melo,Paulo Assis Melo,1,"{""72918"": 3}"
paulo atila da silva viana,Paulo Átila da Silva Viana,2,"{""66573"": 4, ""66720"": 7}"
paulo benigno pena batista,Paulo Benigno Pena Batista,1,"{""66702"": 8}"
paulo celso de carvalho carrera,Paulo Celso de Carvalho Carrera,1,"{""73937"": 7}"
paulo cesar beckman da silva junior,Paulo Cesar Beckman da Silva Junior,2,"{""73590"": 8, ""73677"": 8}"
paulo cesar de oliveira,Paulo Cesar de Oliveira,2,"{""72028"": 8, ""72029"": 8}"
paulo cesar pereira sousa,Paulo César Pereira Sousa,3,"{""66729"": 6, ""66857"": 6, ""73272"": 1}"
paulo cezar gregorio,Paulo Cezar Gregório,3,"{""66445"": 7, ""66559"": 4, ""66576"": 5}"
paulo c. gregorio,Paulo C. Gregório,1,"{""73558"": 2}"
paulo felipe ribeiro bandeira,Paulo Felipe Ribeiro Bandeira,1,"{""72907"": 6}"
paulo fernandes,Paulo Fernandes,1,"{""73207"": 6}"
paulo giovanni de albuquerque suassuna,Paulo Giovanni de Albuquerque Suassuna,2,"{""66587"": 1, ""66596"": 5}"
paulo henrique l. teixeira,Paulo Henrique L. Teixeira,2,"{""66678"": 7, ""66786"": 6}"
paulo henrique magalhaes zerbinato filho,Paulo Henrique Magalhães Zerbinato Filho,2,"{""74069"": 5, ""74088"": 3}"
paulo novis rocha,Paulo Novis Rocha,2,"{""73146"": 3, ""73724"": 6}"
paulo paes leme,Paulo Paes Leme,1,"{""73336"": 2}"
paulo paes leme fernandes,Paulo Paes Leme Fernandes,1,"{""73513"": 6}"
paulo pereira nascimento,Paulo Pereira Nascimento,1,"{""74098"": 4}"
paulo ricardo gessolo lins,Paulo Ricardo Gessolo Lins,4,"{""66537"": 1, ""66541"": 1, ""66578"": 2, ""67176"": 5}"
paulo roberto aranha torres,Paulo Roberto Aranha Torres,1,"{""66869"": 4}"
paulo roberto santos,Paulo Roberto Santos,18,"{""66544"": 4, ""66666"": 8, ""66679"": 3, ""66683"": 2, ""66684"": 2, ""66691"": 8, ""66694"": 2, ""66696"": 2, ""66700"": 3, ""66705"": 2, ""66707"": 2, ""66718"": 3, ""66722"": 8, ""66728"": 2, ""66769"": 8, ""66801"": 2, ""72627"": 1, ""72628"": 1}"
paulo robertos dos santos,Paulo Robertos dos Santos,1,"{""66706"": 2}"
paulo roberto silva marinho,Paulo Roberto Silva Marinho,1,"{""66615"": 3}"
paulo sergio nunes de abreu,Paulo Sérgio Nunes de Abreu,1,"{""74250"": 1}"
paulo sergio pinto,Paulo Sérgio Pinto,1,"{""66836"": 7}"
paulo silva santos,Paulo Silva Santos,2,"{""66390"": 1, ""66391"": 2}"
paulo victor de jesus silva,Paulo Victor de Jesus Silva,2,"{""74189"": 7, ""74320"": 6}"
paulo vitor de souza pimentel,Paulo Vitor de Souza Pimentel,5,"{""66495"": 4, ""66618"": 1, ""66624"": 4, ""66633"": 7, ""66681"": 2}"
pedro assis ferreira menezes,Pedro Assis Ferreira Menezes,1,"{""74150"": 7}"
pedro augusto botelho lemos,Pedro Augusto Botelho Lemos,3,"{""73739"": 2, ""73761"": 1, ""74171"": 2}"
pedro augusto macedo de souza,Pedro Augusto Macedo de Souza,3,"{""66723"": 4, ""66741"": 2, ""66834"": 2}"
pedro barretto lorenzo,Pedro Barretto Lorenzo,1,"{""73459"": 2}"
pedro bribean rogovschi,Pedro Bribean Rogovschi,1,"{""72941"": 5}"
pedro eduardo andrade de carvalho gomes,Pedro Eduardo Andrade de Carvalho Gomes,6,"{""66631"": 2, ""66638"": 2, ""66714"": 6, ""66716"": 2, ""66765"": 6, ""66879"": 5}"
pedro eugencio daudt,Pedro Eugêncio Daudt,1,"{""73834"": 2}"
pedro eugenio daudt,Pedro Eugênio Daudt,1,"{""73954"": 2}"
pedro guimaraes pascoal,Pedro Guimarães Pascoal,3,"{""73662"": 1, ""73792"": 7, ""74080"": 1}"
pedro henrique borges e silva,Pedro Henrique Borges e Silva,2,"{""66465"": 1, ""74179"": 1}"
pedro henrique de azevedo alves,Pedro Henrique de Azevedo Alves,2,"{""72836"": 7, ""72891"": 5}"
pedro leao neves,Pedro Leão Neves,2,"{""72930"": 6, ""73988"": 5}"
pedro leme silva,Pedro Leme Silva,1,"{""72675"": 8}"
pedro paulo giacometi rangel torres,Pedro Paulo Giacometi Rangel Torres,1,"{""66678"": 1}"
pedro paulo g. r. torres,Pedro Paulo G. R. Torres,1,"{""66786"": 2}"
pedro pereira tenorio,Pedro Pereira Tenório,1,"{""73665"": 4}"
pedro perreira tenorio,Pedro Perreira Tenório,3,"{""73731"": 7, ""73869"": 7, ""74007"": 7}"
pedro p. maranzano,Pedro P. Maranzano,1,"{""73844"": 3}"
pedro vellosa schwartzmann,Pedro Vellosa Schwartzmann,1,"{""66733"": 8}"
pedro vinicius leite de sousa,Pedro Vinicius Leite de Sousa,1,"{""72697"": 8}"
pereira,Pereira,1,"{""72736"": 4}"
peter hughes,Peter Hughes,2,"{""66590"": 4, ""66601"": 4}"
peter kotanko,Peter Kotanko,1,"{""66652"": 4}"
plinio henrique vaz mourao,Plinio Henrique Vaz Mourão,3,"{""74140"": 7, ""76560"": 2, ""76566"": 2}"
poliana carla ferreira barbosa,Poliana Carla Ferreira Barbosa,1,"{""66457"": 7}"
poliana sampaio oliveira,Poliana Sampaio Oliveira,2,"{""73326"": 1, ""73672"": 4}"
polianna lemos moura moreira albuquerque,Polianna Lemos Moura Moreira Albuquerque,2,"{""66665"": 2, ""66721"": 1}"
poline maria de sousa felix,Poline Maria de Sousa Felix,1,"{""66824"": 3}"
pollyana alves da silva,Pollyana Alves da Silva,1,"{""72988"": 1}"
pollyanna soares de souza araujo mesquita,Pollyanna Soares de Souza Araujo Mesquita,1,"{""66597"": 4}"
polyana monteiro d'albuquerque,Polyana Monteiro D'Albuquerque,1,"{""66783"": 4}"
porphirio jose soares filho,Porphirio Jose Soares Filho,1,"{""73160"": 5}"
precil d. neves,Precil D. Neves,1,"{""72755"": 3}"
precil m neves,Precil M. Neves,1,"{""73052"": 2}"
pricila imaculada da silva mendonca,Pricila Imaculada da Silva Mendonça,1,"{""66598"": 5}"
priscila almeida rodrigues,Priscila Almeida Rodrigues,1,"{""72029"": 4}"
priscila ligeiro esper,Priscila Ligeiro Esper,1,"{""73882"": 3}"
priscila lustoza gomes sampaio,Priscila Lustoza Gomes Sampaio,1,"{""66251"": 6}"
priscila luztoza sampaio,Priscila Luztoza Sampaio,1,"{""66562"": 4}"
priscila nunes costa travassos,Priscila Nunes Costa Travassos,2,"{""66641"": 2, ""66884"": 3}"
priscila tamar poletti,Priscila Tamar Poletti,2,"{""72734"": 3, ""72735"": 2}"
priscilla cardim fernandes,Priscilla Cardim Fernandes,1,"{""66562"": 2}"
priscilla de andrade nogueira souza,Priscilla de Andrade Nogueira Souza,1,"{""73871"": 2}"
priscilla de fucio sarcinelli,Priscilla de Fúcio Sarcinelli,1,"{""66620"": 7}"
priscilla freitas sampaio,Priscilla Freitas Sampaio,2,"{""73903"": 2, ""73926"": 2}"
priscilla tolentino barbosa fernandes,Priscilla Tolentino Barbosa Fernandes,1,"{""73587"": 2}"
priscilla tolentino b. fernandes,Priscilla Tolentino B. Fernandes,1,"{""73596"": 3}"
priscilla valladares broca,Priscilla Valladares Broca,2,"{""66680"": 5, ""73172"": 7}"
rachel bregman,Rachel Bregman,3,"{""66844"": 6, ""66863"": 6, ""66896"": 2}"
rachele escoli,Rachele Escoli,1,"{""66687"": 3}"
rachel gatti armani linger,Rachel Gatti Armani Linger,1,"{""73053"": 1}"
rafaela alves martins,Rafaela Alves Martins,3,"{""72667"": 5, ""74140"": 6, ""76560"": 1}"
rafaela alves monteiro,Rafaela Alves Monteiro,1,"{""76566"": 1}"
rafaela araujo de holanda,Rafaela Araújo de Holanda,3,"{""66760"": 6, ""66823"": 3, ""66852"": 5}"
rafaela araujo holanda,Rafaela Araújo Holanda,1,"{""66714"": 4}"
rafael abrantes de lima,Rafael Abrantes de Lima,1,"{""66404"": 3}"
rafaela fraga melo,Rafaela Fraga Melo,1,"{""66672"": 2}"
rafaela hoffmann miranda,Rafaela Hoffmann Miranda,1,"{""72956"": 2}"
rafaela lopes cardoso,Rafaela Lopes Cardoso,3,"{""73672"": 5, ""73883"": 4, ""74265"": 1}"
rafaela magalhaes leal gouveia,Rafaela Magalhães Leal Gouveia,4,"{""72639"": 1, ""72742"": 7, ""72822"": 6, ""72916"": 6}"
rafaela titoneli freitas silva,Rafaela Titoneli Freitas Silva,1,"{""66389"": 1}"
rafaela travassos ferreira mascarenhas leite,Rafaela Travassos Ferreira Mascarenhas Leite,2,"{""66654"": 2, ""66783"": 3}"
rafael augusto migoto santos,Rafael Augusto Migoto Santos,1,"{""73285"": 2}"
rafael borges couto,Rafael Borges Couto,1,"{""66482"": 4}"
rafael cerqueira oliveira,Rafael Cerqueira Oliveira,1,"{""72966"": 5}"
rafael correa lima,Rafael Correa Lima,1,"{""73987"": 6}"
rafael de almeida,Rafael de Almeida,1,"{""72630"": 2}"
rafael de oliveira guena,Rafael de Oliveira Guena,1,"{""66532"": 6}"
rafael fernandes romani,Rafael Fernandes Romani,4,"{""66354"": 4, ""70852"": 2, ""73462"": 1, ""74055"": 1}"
rafael fernandes vanderlei vasco,Rafael Fernandes Vanderlei Vasco,1,"{""74110"": 3}"
rafael g. r. souza,Rafael G. R. Souza,2,"{""66678"": 6, ""66786"": 8}"
rafael hayashi moreira,Rafael Hayashi Moreira,1,"{""73871"": 1}"
rafaella campanholo grandinete,Rafaella Campanholo Grandinete,1,"{""73770"": 1}"
rafaella sayegh,Rafaella Sayegh,1,"{""73675"": 3}"
rafaelle nunes da silva,Rafaelle Nunes da Silva,1,"{""73290"": 1}"
rafael machado,Rafael Machado,2,"{""73061"": 4, ""74232"": 2}"
rafael machado de oliveira lima,Rafael Machado de Oliveira Lima,1,"{""66247"": 5}"
rafael mello galliez,Rafael Mello Galliez,1,"{""66535"": 3}"
rafael oliveira dantas,Rafael Oliveira Dantas,2,"{""66802"": 3, ""66843"": 3}"
rafael pereira oliveira silva,Rafael Pereira Oliveira Silva,1,"{""73285"": 3}"
rafael pinetti quemelli,Rafael Pinetti Quemelli,1,"{""73761"": 4}"
rafael policarpo fagundes badziak,Rafael Policarpo Fagundes Badziak,1,"{""66247"": 1}"
rafael romani,Rafael Romani,1,"{""73082"": 2}"
rafael soares lindoso,Rafael Soares Lindoso,1,"{""66701"": 1}"
rafael taborda correa oliveira,Rafael Taborda Corrêa Oliveira,2,"{""72607"": 2, ""72614"": 3}"
rafael yuri sano,Rafael Yuri Sano,1,"{""73285"": 4}"
rafaneli rodrigues azevedo filho,Rafaneli Rodrigues Azevedo Filho,3,"{""73441"": 1, ""73818"": 3, ""73860"": 4}"
raimunda sheyla carneiro dias,Raimunda Sheyla Carneiro Dias,11,"{""66397"": 2, ""66398"": 2, ""66539"": 2, ""66540"": 2, ""66561"": 3, ""66563"": 2, ""66575"": 2, ""66759"": 2, ""68585"": 2, ""73095"": 3, ""73108"": 3}"
raimundo messias de araujo junior,Raimundo Messias de Araújo Júnior,1,"{""73730"": 5}"
raissa carolinne borba alves da silva,Raíssa Carolinne Borba Alves da Silva,1,"{""66824"": 2}"
raissa lopes giacomini,Raíssa Lopes Giacomini,1,"{""66353"": 3}"
raissa maria fadel,Raissa Maria Fadel,1,"{""73334"": 1}"
raissa moraes dos santos,Raissa Moraes dos Santos,1,"{""73404"": 7}"
ramon dalamura,Ramon Dalamura,1,"{""73035"": 4}"
ramon lopes cabral,Ramon Lopes Cabral,1,"{""66353"": 7}"
ramon roseo paula pessoa bezerra de menezes,Ramón Róseo Paula Pessoa Bezerra de Menezes,1,"{""66586"": 5}"
ranielly ribeiro venturini,Ranielly Ribeiro Venturini,1,"{""73787"": 6}"
raphaela fabri viana do nascimento,Raphaela Fabri Viana do Nascimento,1,"{""73641"": 7}"
raphael brito de almeida,Raphael Brito de Almeida,1,"{""71672"": 3}"
raphael brito de almeida dutra,Raphael Brito de Almeida Dutra,1,"{""71673"": 3}"
raquel antunes fantin de oliveira,Raquel Antunes Fantin de Oliveira,1,"{""73027"": 4}"
raquel caldeira brant ramos,Raquel Caldeira Brant Ramos,1,"{""66741"": 5}"
raquel castro dias,Raquel Castro Dias,1,"{""73035"": 3}"
raquel costa da silva,Raquel Costa da Silva,1,"{""66478"": 1}"
raquel de oliveira machado,Raquel de Oliveira Machado,1,"{""66774"": 1}"
raquel ferreira frange nassar,Raquel Ferreira Frange Nassar,2,"{""73050"": 1, ""73963"": 1}"
raquel ferreira nassar frange,Raquel Ferreira Nassar Frange,1,"{""74142"": 2}"
raquel machado schincaglia,Raquel Machado Schincaglia,3,"{""66379"": 3, ""66609"": 5, ""66628"": 6}"
raquel martins ferreira malta,Raquel Martins Ferreira Malta,2,"{""73419"": 6, ""73422"": 5}"
raquel quintanilha nagamori,Raquel Quintanilha Nagamori,1,"{""73092"": 4}"
raquel souza da silva,Raquel Souza da Silva,2,"{""73590"": 1, ""73677"": 1}"
raquel vasco,Raquel Vasco,1,"{""73622"": 4}"
raul d santos filho,Raul D. Santos Filho,1,"{""66611"": 5}"
raul santos filho,Raul Santos Filho,1,"{""66534"": 7}"
rayana ariane pereira maciel,Rayana Ariane Pereira Maciel,2,"{""66445"": 8, ""66576"": 2}"
rayane hellen de oliveira,Rayane Hellen de Oliveira,1,"{""66806"": 4}"
rayanna cadilhe de oliveira costa,Rayanna Cadilhe de Oliveira Costa,2,"{""66397"": 6, ""66561"": 5}"
ray costa portela,Ray Costa Portela,1,"{""73811"": 2}"
rayssa ruszkowski do amaral,Rayssa Ruszkowski do Amaral,1,"{""66377"": 2}"
rebeca appel soares de melo,Rebeca Appel Soares de Melo,2,"{""66640"": 7, ""66733"": 7}"
rebeca carvalho souza costa,Rebeca Carvalho Souza Costa,1,"{""66765"": 7}"
rebeca da rocha cavalcante,Rebeca da Rocha Cavalcante,2,"{""66399"": 5, ""66817"": 4}"
rebeca lima costa,Rebeca Lima Costa,1,"{""73639"": 5}"
rebecca amaral pires moura,Rebecca Amaral Pires Moura,1,"{""73963"": 6}"
rebeka lapenda de souza,Rebeka Lapenda de Souza,1,"{""73022"": 2}"
rebeka moreira leite neres,Rebeka Moreira Leite Neres,2,"{""72947"": 4, ""72952"": 7}"
regiane aparecida dos santos soares barreto,Regiane Aparecida dos Santos Soares Barreto,6,"{""66379"": 4, ""66408"": 3, ""66609"": 4, ""66613"": 4, ""66628"": 4, ""66773"": 3}"
regiane stafim da cunha,Regiane Stafim da Cunha,2,"{""66559"": 5, ""66576"": 1}"
regina bokehi nigri,Regina Bokehi Nigri,5,"{""72932"": 2, ""72933"": 2, ""73020"": 1, ""73254"": 1, ""73265"": 2}"
regina celi de lira neves,Regina Celi de Lira Neves,1,"{""73551"": 2}"
regina helena saramago peralta,Regina Helena Saramago Peralta,1,"{""72607"": 7}"
regina lira,Regina Lira,1,"{""73551"": 1}"
regina rocco,Regina Rocco,1,"{""66615"": 2}"
rejane de paula bernardes,Rejane de Paula Bernardes,1,"{""74188"": 3}"
rejane maria spindola furtado,Rejane Maria Spindola Furtado,2,"{""73964"": 8, ""74122"": 3}"
rejane medeiros millions,Rejane Medeiros Millions,1,"{""66747"": 4}"
renan fonseca morais da costa,Renan Fonseca Morais da Costa,1,"{""72674"": 5}"
renan gabriel pinho botelho dos santos,Renan Gabriel Pinho Botelho dos Santos,1,"{""66871"": 4}"
renan gandolfo henschel,Renan Gandolfo Henschel,1,"{""66847"": 2}"
renan hercules devitto,Renan Hércules Devitto,3,"{""66640"": 1, ""66733"": 5, ""73691"": 2}"
renan lima alencar,Renan Lima Alencar,5,"{""66387"": 7, ""66442"": 1, ""66489"": 7, ""66817"": 3, ""66822"": 1}"
renan nola schmoeller,Renan Nola Schmoeller,1,"{""66554"": 6}"
renata albano bresciani,Renata Albano Bresciani,2,"{""66745"": 7, ""74046"": 7}"
renata almeida franca,Renata Almeida França,1,"{""73690"": 4}"
renata alvares brandao,Renata Alvares Brandão,1,"{""66466"": 7}"
renata christine simas de lima,Renata Christine Simas de Lima,1,"{""72609"": 1}"
renata correia garcias,Renata Correia Garcias,1,"{""66402"": 3}"
renata c. s. de lima,Renata C. S. de Lima,1,"{""73346"": 6}"
renata de cassia zen,Renata de Cassia Zen,1,"{""73624"": 4}"
renata de mello perez,Renata de Mello Perez,1,"{""66486"": 6}"
renata de souza da silva,Renata de Souza da Silva,1,"{""66655"": 3}"
renata de souza mendes,Renata de Souza Mendes,1,"{""72675"": 1}"
renata de souza silva,Renata de Souza Silva,2,"{""66844"": 3, ""66863"": 1}"
renata gervais,Renata Gervais,1,"{""73061"": 3}"
renata gervais de santa rosa,Renata Gervais de Santa Rosa,1,"{""66303"": 2}"
renata lamego starling,Renata Lamego Starling,1,"{""73761"": 7}"
renata marcello lamarca blois,Renata Marcello Lamarca Blois,2,"{""66595"": 6, ""66785"": 2}"
renata nakamichi,Renata Nakamichi,1,"{""66537"": 4}"
renata oliveira santos,Renata Oliveira Santos,1,"{""70660"": 3}"
renata pereira de melo araujo,Renata Pereira de Melo Araújo,1,"{""72980"": 4}"
renata priscylla de oliveira albuquerque silva,Renata Priscylla de Oliveira Albuquerque Silva,1,"{""73212"": 5}"
renata romanholi pinhati,Renata Romanholi Pinhati,1,"{""66675"": 1}"
renato demarchi foresto,Renato Demarchi Foresto,6,"{""66549"": 4, ""66731"": 8, ""66792"": 2, ""71638"": 2, ""72780"": 1, ""72941"": 3}"
renato eick,Renato Eick,2,"{""66513"": 4, ""66738"": 3}"
renato erothildes ferreira,Renato Erothildes Ferreira,1,"{""66675"": 2}"
renato foresti demarchi,Renato Foresti Demarchi,1,"{""66474"": 7}"
renato george eick,Renato George Eick,1,"{""73801"": 3}"
renato itamar duarte fonseca,Renato Itamar Duarte Fonseca,1,"{""66445"": 1}"
renato ribeiro da cunha,Renato Ribeiro da Cunha,1,"{""72701"": 4}"
renato vianna marotta starek,Renato Vianna Marotta Starek,1,"{""73686"": 2}"
renato vieira campos,Renato Vieira Campos,2,"{""66678"": 2, ""66786"": 1}"
rene scalet dos santos neto,Rene Scalet dos Santos Neto,1,"{""66813"": 1}"
reneu zamora junior,Reneu Zamora Junior,2,"{""73908"": 1, ""74158"": 3}"
ricardo araujo mothe,Ricardo Araújo Mothé,3,"{""66408"": 8, ""66613"": 8, ""66773"": 8}"
ricardo caetano honorio barbosa,Ricardo Caetano Honório Barbosa,1,"{""66824"": 7}"
ricardo de lima zollner,Ricardo de Lima Zollner,2,"{""73828"": 5, ""73856"": 3}"
ricardo de mattos russo rafael,Ricardo de Mattos Russo Rafael,1,"{""66688"": 6}"
ricardo de souza cavalcante,Ricardo de Souza Cavalcante,1,"{""72358"": 4}"
ricardo leal dos santos barros,Ricardo Leal dos Santos Barros,2,"{""66731"": 1, ""66792"": 3}"
ricardo mattoso,Ricardo Mattoso,2,"{""66802"": 7, ""66843"": 6}"
ricardo mondoni madureira,Ricardo Mondoni Madureira,1,"{""72975"": 1}"
ricardo peixoto goncalves,Ricardo Peixoto Gonçalves,1,"{""66470"": 3}"
ricardo pereira silva,Ricardo Pereira Silva,1,"{""66489"": 8}"
ricardo pizzocolo martins,Ricardo Pizzocolo Martins,2,"{""66667"": 3, ""73906"": 3}"
ricardo portiolli franco,Ricardo Portiolli Franco,2,"{""73459"": 4, ""73718"": 2}"
ricardo portiolli francp,Ricardo Portiolli Francp,2,"{""73670"": 1, ""73718"": 1}"
rita de cassia fantagucci,Rita de Cássia Fantagucci,1,"{""73767"": 4}"
rita de cassia moreno aquino,Rita de Cassia Moreno Aquino,1,"{""73422"": 7}"
rita maria lemos baptista silva,Rita Maria Lemos Baptista Silva,1,"{""66401"": 3}"
rita monica borges studart,Rita Mônica Borges Studart,2,"{""66444"": 3, ""66448"": 3}"
rita padovani ventura,Rita Padovani Ventura,1,"{""73074"": 4}"
rita rezzani,Rita Rezzani,2,"{""72734"": 7, ""72735"": 7}"
rivaldo cardoso da costa,Rivaldo Cardoso da Costa,2,"{""66337"": 2, ""66338"": 2}"
roberta campos candide,Roberta Campos Candidé,1,"{""74050"": 4}"
